Rank,Deck,Score_%,MAS_%,LB_%,BT_%,SE_%,N_eff,Opp_used,Opp_total,Coverage_%
1,Suicune ex Baxcalibur,93.9976,53.8789,51.5895,73.5409,1.1681,1560,38,38,100.0
2,Miraidon ex Magnezone,93.9756,53.5759,51.7004,71.8954,0.9569,2488,38,38,100.0
3,Mega Blaziken ex Greninja,92.9147,53.9337,51.0666,74.2193,1.4628,946,38,38,100.0
4,Indeedee ex Giratina ex,91.2334,54.2486,50.8493,68.5525,1.7344,585,37,38,97.3684
5,Mega Altaria ex Espeon,90.6684,53.7898,49.9844,77.6832,1.9415,487,38,38,100.0
6,Mega Lucario ex Lucario,88.7677,52.2051,49.6855,73.7168,1.2855,1332,38,38,100.0
7,Mega Manectric ex Zeraora,87.1834,52.9695,48.3932,85.295,2.3349,305,37,38,97.3684
8,Mega Sceptile ex Greninja,84.6314,51.5424,49.2816,64.5988,1.1535,1642,38,38,100.0
9,Zoroark ex Mega Absol ex,83.0326,52.7236,48.3127,72.8298,2.2505,321,37,38,97.3684
10,Mega Lucario ex Igglybuff,76.7951,53.5148,47.5014,66.9936,3.0681,144,33,38,86.8421
11,Mega Blaziken ex Castform Sunny Form,71.5204,51.2101,46.0135,74.866,2.6513,217,35,38,92.1053
12,Mega Charizard Y ex Entei ex,67.6728,51.2156,46.4043,61.2507,2.4548,272,36,38,94.7368
13,Mega Lucario ex,67.5819,49.7911,45.7646,69.747,2.0543,418,36,38,94.7368
14,Giratina ex Darkrai ex,64.2803,51.3758,45.3303,68.8474,3.0844,133,32,38,84.2105
15,Butterfree Mega Sceptile ex,62.0781,49.1363,46.4019,49.8847,1.3951,1054,38,38,100.0
16,Mega Lucario ex Greninja,60.4424,50.4278,44.8644,67.5414,2.8384,185,34,38,89.4737
17,Milotic ex Eevee ex,60.368,52.5364,46.8914,39.8672,2.8801,163,33,38,86.8421
18,Hydreigon Mega Sableye ex,59.9832,49.76,46.2592,47.7005,1.7861,584,38,38,100.0
19,Milotic ex Chien-Pao ex,53.4444,50.1411,44.7753,55.2908,2.7376,211,32,38,84.2105
20,Magnezone ex Magnezone,52.992,51.2138,44.902,52.7112,3.2203,129,35,38,92.1053
21,Greninja Mega Absol ex,51.4551,49.93,43.705,66.0569,3.176,119,33,38,86.8421
22,Milotic ex Suicune ex,49.2048,49.795,43.1846,68.8668,3.3727,109,34,38,89.4737
23,Magnezone Miraidon ex,45.157,48.9455,44.0247,49.7776,2.5106,259,37,38,97.3684
24,Meowscarada ex Meowscarada,38.8337,48.4762,43.3653,46.5106,2.6076,247,37,38,97.3684
25,Hisuian Goodra Mantyke,37.7549,48.2792,43.72,39.5587,2.3261,294,35,38,92.1053
26,Mega Altaria ex Gourgeist,35.7565,48.629,42.7018,49.3835,3.024,152,34,38,89.4737
27,Mega Sceptile ex Teal Mask Ogerpon ex,30.1642,47.9062,41.3871,55.5647,3.3261,132,33,38,86.8421
28,Mega Gardevoir ex Gardevoir,30.1108,46.7741,42.8226,35.9528,2.0161,430,38,38,100.0
29,Mega Altaria ex Greninja,27.774,47.4878,42.3309,37.4721,2.6311,221,36,38,94.7368
30,Greninja Mega Sableye ex,27.4117,45.0025,42.6712,32.0325,1.1895,1527,38,38,100.0
31,Milotic ex Vaporeon ex,20.8738,45.8865,41.8979,26.6565,2.035,423,37,38,97.3684
32,Hydreigon Mega Absol ex,19.856,46.1939,41.5086,29.2289,2.3905,294,34,38,89.4737
33,Milotic ex Igglybuff,18.2335,47.3834,41.6454,22.8641,2.9276,186,35,38,92.1053
34,Zoroark ex Mega Sableye ex,12.8322,46.3811,40.5873,20.0379,2.956,178,32,38,84.2105
35,Mega Sceptile ex Sceptile,8.662,44.5377,38.4424,31.9999,3.1099,143,35,38,92.1053
36,Mega Gardevoir ex Mega Diancie ex,7.5395,42.3079,39.06,17.9606,1.6571,717,38,38,100.0
37,Butterfree Hisuian Zoroark ex,5.6095,43.0544,38.3023,16.8038,2.4245,284,36,38,94.7368
38,Mega Sableye ex Darkrai ex,2.9754,41.6624,37.2756,8.4098,2.2381,326,38,38,100.0
39,Growlithe Lillipup,1.6068,40.7573,35.8135,8.7751,2.5223,241,35,38,92.1053
