Rank,Deck,Score_%,MAS_%,LB_%,BT_%,SE_%,N_eff,Opp_used,Opp_total,Coverage_%
1,Dragapult,92.6404,53.7597,52.7396,77.5607,0.5204,8310,26,26,100.0
2,Crustle,92.4259,53.9018,52.2605,84.8053,0.8374,2601,26,26,100.0
3,Dragapult Blaziken,90.5648,53.6858,52.2234,76.5624,0.7461,3718,26,26,100.0
4,Slowking,85.2273,52.56,51.4014,71.0403,0.5911,6222,26,26,100.0
5,Raging Bolt Ogerpon,82.8337,52.5624,50.8665,73.075,0.8653,2607,26,26,100.0
6,Basic Box,79.5106,52.2723,50.3627,72.7312,0.9743,1887,26,26,100.0
7,Ogerpon Meganium Hydrapple,77.4417,51.8165,50.3751,67.2662,0.7354,3768,26,26,100.0
8,Alakazam Dudunsparce,77.245,51.7279,50.452,65.4382,0.651,4883,26,26,100.0
9,Dragapult Dusknoir,74.6619,51.4823,50.3805,60.5294,0.5621,7071,26,26,100.0
10,Rocket's Honchkrow,73.6652,51.651,50.1394,62.4551,0.7712,3360,26,26,100.0
11,Cynthia's Garchomp,72.4735,51.6239,49.6439,68.4381,1.0102,1696,26,26,100.0
12,Metagross,70.3027,51.685,49.5607,65.1578,1.0838,1426,26,26,100.0
13,Festival Lead,67.1664,51.1278,49.5222,59.2596,0.8192,2902,26,26,100.0
14,Ethan's Typhlosion,44.452,49.8486,47.6953,47.8764,1.0986,1315,26,26,100.0
15,N's Zoroark,43.0674,48.8361,47.6892,45.3776,0.5851,6366,26,26,100.0
16,Rocket's Mewtwo,42.5042,49.1545,47.3772,49.7646,0.9068,2252,26,26,100.0
17,Beedrill,33.9922,48.4669,47.0858,38.2733,0.7046,4067,26,26,100.0
18,Mega Lucario,33.4943,48.8061,46.814,42.0125,1.0164,1683,26,26,100.0
19,Lopunny Dudunsparce,30.1864,48.4956,46.6382,38.2074,0.9477,1998,26,26,100.0
20,Greninja,29.6899,48.7615,46.598,37.8499,1.1038,1350,26,26,100.0
21,Lucario Hariyama,28.8702,48.2196,46.6394,35.3578,0.8062,3026,26,26,100.0
22,Hop's Trevenant,23.2926,48.1899,46.1807,30.6152,1.0251,1614,26,26,100.0
23,Starmie Dusknoir,15.3909,47.3654,45.2018,26.1743,1.1038,1360,26,26,100.0
24,Ceruledge,13.898,46.8745,44.6265,31.3989,1.1469,1178,26,26,100.0
25,Starmie Froslass,11.8702,46.8064,44.6583,23.6822,1.096,1377,26,26,100.0
26,Mega Greninja,2.6908,43.3978,42.153,12.0845,0.6351,5232,26,26,100.0
27,Other,0.6337,41.4576,40.0674,6.6694,0.7093,4095,26,26,100.0
